,p_id,p_name,p_price,p_discount,p_price_sale,p_price_org,p_margin,p_stock,p_size,p_new,p_best,p_delivery_day,p_category,p_img_id,p_regdate
90,top_90,[특별가격] 아이보리 플로럴 리본 소매 블라우스,39900,25,29900,31298,-1398,85,"S,M,L",n,n,10,top,img_top90,2019-09-23
91,top_91,화이트 언밸런스 볼륨소매 칼라 블라우스,49900,0,49900,15080,34820,27,"S,M,L",n,n,5,top,img_top91,2019-05-20
92,top_92,[특별가격] 아이보리 레이스 포인트 페플럼 태슬 타이 퍼프 소매 블라우스,49900,40,29900,15839,14061,1,"S,M,L",n,n,7,top,img_top92,2019-08-27
93,top_93,아이보리 프릴 포인트 버튼업 블라우스,45900,0,45900,19658,26242,46,"S,M,L",n,n,9,top,img_top93,2019-05-10
94,top_94,[특별가격] 화이트 포인트 타이 프릴넥 블라우스,39900,25,29900,29390,510,33,"S,M,L",n,n,6,top,img_top94,2019-07-08
95,top_95,블랙 플랩 포켓 칼라 블라우스,49900,0,49900,3503,46397,79,"S,M,L",n,n,2,top,img_top95,2019-05-18
96,top_96,옐로우 플로럴 프릴 블라우스,39900,0,39900,7500,32400,73,"S,M,L",n,n,12,top,img_top96,2019-09-18
97,top_97,화이트 포인트 포켓 슬릿 셔츠,49900,0,49900,10161,39739,83,"S,M,L",n,n,6,top,img_top97,2019-05-14
98,top_98,오렌지 플로럴 페플럼 랩 프릴넥 블라우스,39900,0,39900,20576,19324,98,"S,M,L",n,n,7,top,img_top98,2019-02-08
99,top_99,브라운 타탄체크 포인트 프릴 퍼프소매 블라우스,39900,0,39900,26810,13090,88,"S,M,L",y,n,7,top,img_top99,2019-11-19
100,top_100,[특별가격] 스카이 블루 스트라이프 블라우스,39900,25,29900,27299,2601,40,"S,M,L",n,n,14,top,img_top100,2019-08-27
101,top_101,화이트 솔리드 타이 언밸런스 블라우스,59900,0,59900,23032,36868,70,"S,M,L",n,n,11,top,img_top101,2019-03-23
102,top_102,베이지 벨트 버튼업 페플럼 스퀘어넥 블라우스,49900,0,49900,33593,16307,34,"S,M,L",n,n,7,top,img_top102,2019-05-05
103,top_103,아이보리 프론트 리본 블라우스,49900,0,49900,20903,28997,10,"S,M,L",n,n,9,top,img_top103,2019-03-08
104,top_104,[특별가격] 베이지 백 스트랩 볼륨 소매 블라우스,49900,40,29900,45977,-16077,1,"S,M,L",n,n,1,top,img_top104,2019-03-11
105,top_105,화이트 레이스 패치 볼륨 소매 블라우스,49900,0,49900,18283,31617,4,"S,M,L",n,n,1,top,img_top105,2019-09-26
106,top_106,핑크 플라워 패턴 블라우스,49900,0,49900,21037,28863,29,"S,M,L",n,n,10,top,img_top106,2019-07-04
107,top_107,블랙 믹스 배색 블라우스,59900,0,59900,33525,26375,41,"S,M,L",n,n,2,top,img_top107,2019-11-27
108,top_108,블랙 시스루 도트 타이 블라우스,59900,0,59900,43932,15968,81,"S,M,L",n,n,6,top,img_top108,2019-06-06
109,top_109,[특별가격] 블랙 베이직 도트 패턴 오픈 칼라 블라우스,39900,25,29900,11921,17979,54,"S,M,L",n,n,4,top,img_top109,2019-06-12
110,top_110,블랙 프릴 플로럴 리본 블라우스,39900,0,39900,18823,21077,36,"S,M,L",n,n,8,top,img_top110,2019-06-23
111,top_111,[특별가격] 블랙 도트 언밸런스 포인트 프릴 볼륨 소매 블라우스,49900,20,39900,35952,3948,50,"S,M,L",n,n,4,top,img_top111,2019-11-11
112,top_112,옐로이시 브라운 체크 브이넥 블라우스,39900,0,39900,20385,19515,14,"S,M,L",n,n,3,top,img_top112,2019-12-07
113,top_113,화이트 포인트 플리츠 페플럼 블라우스,45900,0,45900,27913,17987,16,"S,M,L",n,n,13,top,img_top113,2019-11-23
114,top_114,화이트 모달 버튼 포인트 블라우스,39900,0,39900,24214,15686,26,"S,M,L",n,n,6,top,img_top114,2019-12-03
115,top_115,화이트 버튼업 캐주얼 후드 셔츠,59900,0,59900,40228,19672,59,"S,M,L",n,n,7,top,img_top115,2019-03-14
116,top_116,브라운 도트 셔링 페플럼 블라우스,39900,0,39900,2988,36912,56,"S,M,L",n,n,5,top,img_top116,2019-02-21
117,top_117,네이비 백 슬릿 칼라 셔츠,39900,0,39900,12935,26965,77,"S,M,L",n,n,12,top,img_top117,2019-01-24
118,top_118,베이지 솔리드 버튼업 언밸런스 블라우스,59900,0,59900,20250,39650,18,"S,M,L",n,n,5,top,img_top118,2019-12-13
119,top_119,화이트 코튼 언밸런스 라운드 헴라인 블라우스,49900,0,49900,12921,36979,59,"S,M,L",n,n,4,top,img_top119,2019-03-07
120,top_120,아이보리 랩 리본 브이넥 블라우스,49900,0,49900,8893,41007,49,"S,M,L",n,n,4,top,img_top120,2019-05-04
121,top_121,[특별가격] 아이보리 패턴 러플 쉬폰 블라우스,39900,25,29900,5372,24528,77,"S,M,L",n,n,5,top,img_top121,2019-07-20
122,top_122,아이보리 깅엄 체크 세일러 칼라 블라우스,49900,0,49900,20591,29309,41,"S,M,L",n,n,5,top,img_top122,2019-11-08
123,top_123,아이보리 포켓 스트링 언발란스 블라우스,59900,0,59900,50314,9586,82,"S,M,L",n,n,2,top,img_top123,2019-11-03
124,top_124,카키 플로럴 셔링 버튼업 블라우스,39900,0,39900,36311,3589,87,"S,M,L",n,n,13,top,img_top124,2019-03-08
125,top_125,스카이 블루 베이직 포켓 언밸런스 셔츠,39900,0,39900,11910,27990,1,"S,M,L",n,n,13,top,img_top125,2019-09-01
126,top_126,[특별가격] 베이지 코튼 버튼업 빅 포켓 루즈핏 셔츠,49900,20,39900,47352,-7452,76,"S,M,L",n,n,6,top,img_top126,2019-12-06
127,top_127,베이지 백 핀턱 7부 소매 셔츠,49900,0,49900,12856,37044,19,"S,M,L",n,n,14,top,img_top127,2019-05-13
128,top_128,화이트 레이스 칼라 블라우스,59900,0,59900,16085,43815,82,"S,M,L",n,n,9,top,img_top128,2019-11-22
129,top_129,아이보리 러플 플로럴 블라우스,39900,0,39900,15577,24323,11,"S,M,L",n,n,5,top,img_top129,2019-03-20
130,top_130,네이비 타탄체크 스트랩 소매 프릴넥 블라우스,39900,0,39900,12702,27198,12,"S,M,L",n,n,10,top,img_top130,2019-04-21
131,top_131,[특별가격] 브라운 깅엄 체크 러플 블라우스,45900,35,29900,11170,18730,91,"S,M,L",n,n,13,top,img_top131,2019-11-28
132,top_132,화이트 새틴 언밸런스 절개 소매 브이넥 블라우스,49900,0,49900,33210,16690,63,"S,M,L",y,n,4,top,img_top132,2019-01-06
133,top_133,핑크 퍼프 소매 블라우스,45900,0,45900,27000,18900,10,"S,M,L",n,n,4,top,img_top133,2019-01-28
134,top_134,블랙 스트라이프 페플럼 셔링 브이넥 블라우스,29900,0,29900,6621,23279,5,"S,M,L",n,n,14,top,img_top134,2019-08-29
135,top_135,블랙 패턴 프릴 블라우스,39900,0,39900,9064,30836,43,"S,M,L",n,n,13,top,img_top135,2019-07-08
136,top_136,레드 빅 체크 핀턱 블라우스,39900,0,39900,13810,26090,26,"S,M,L",n,n,4,top,img_top136,2019-12-02
137,top_137,화이트 레이스 플로럴 벨소매 블라우스,49900,0,49900,34705,15195,15,"S,M,L",n,n,14,top,img_top137,2019-01-16
138,top_138,블랙 코튼 크리즈 셔링 블라우스,49900,0,49900,6443,43457,49,"S,M,L",n,n,12,top,img_top138,2019-07-14
139,top_139,스카이 블루 백 버튼 절개 라인 블라우스,49900,0,49900,34566,15334,71,"S,M,L",n,n,4,top,img_top139,2019-04-30
140,top_140,화이트 숄더 버튼 블라우스,59900,0,59900,20411,39489,43,"S,M,L",n,n,6,top,img_top140,2019-06-05
141,top_141,아이보리 체크 백 버튼 리본 블라우스,39900,0,39900,22219,17681,100,"S,M,L",n,n,11,top,img_top141,2019-08-03
142,top_142,[특별가격] 화이트 프린지 포인트 블라우스,29900,33,19900,27419,-7519,74,"S,M,L",n,n,3,top,img_top142,2019-10-13
143,top_143,화이트 솔리드 베이직 오픈 칼라 셔츠,39900,0,39900,3950,35950,21,"S,M,L",n,n,7,top,img_top143,2019-09-23
144,top_144,핑크 솔리드 칼라 셔츠,39900,0,39900,1092,38808,22,"S,M,L",n,n,5,top,img_top144,2019-10-29
145,top_145,아이보리 코튼 언밸런스 셔링 블라우스,39900,0,39900,33570,6330,12,"S,M,L",n,n,14,top,img_top145,2019-09-20
146,top_146,오렌지 백 슬릿 칼라 셔츠,39900,0,39900,33683,6217,22,"S,M,L",n,n,4,top,img_top146,2019-10-19
147,top_147,화이트 새틴 블라우스,49900,0,49900,21314,28586,2,"S,M,L",n,n,5,top,img_top147,2019-04-22
148,top_148,블루 새틴 버튼 슬릿 블라우스,49900,0,49900,19310,30590,53,"S,M,L",n,n,6,top,img_top148,2019-04-10
149,top_149,옐로이시 브라운 스트랩 오버사이즈 셔츠,49900,0,49900,42607,7293,42,"S,M,L",n,n,10,top,img_top149,2019-10-17
150,top_150,베이지 체크 러플 스트랩 블라우스,29900,0,29900,11719,18181,4,"S,M,L",n,n,7,top,img_top150,2019-03-23
151,top_151,[특별가격] 핑크 타탄 체크 셔링 블라우스,45900,35,29900,6868,23032,89,"S,M,L",n,n,13,top,img_top151,2019-08-13
152,top_152,[특별가격] 블루 스트라이프 볼륨 소매 블라우스,45900,35,29900,22279,7621,54,"S,M,L",n,n,6,top,img_top152,2019-11-23
153,top_153,화이트 프론트 슬릿 하이넥 지퍼 셔츠,59900,0,59900,18195,41705,84,"S,M,L",n,n,4,top,img_top153,2019-10-25
154,top_154,네이비 멀티 체크 프릴 블라우스,39900,0,39900,1606,38294,64,"S,M,L",n,n,4,top,img_top154,2019-09-20
155,top_155,옐로이시 브라운 파이톤 플리츠 프릴넥 퍼프 소매 블라우스,39900,0,39900,7186,32714,73,"S,M,L",n,n,8,top,img_top155,2019-10-11
156,top_156,아이보리 셔링 스트링 벨소매 블라우스,39900,0,39900,6284,33616,89,"S,M,L",n,n,8,top,img_top156,2019-04-18
157,top_157,베이지 소프트 브이넥 우븐 블라우스,49900,0,49900,27842,22058,70,"S,M,L",n,n,9,top,img_top157,2019-08-08
158,top_158,브라운 시스루 플로럴 프릴 블라우스,39900,0,39900,35239,4661,26,"S,M,L",n,n,7,top,img_top158,2019-05-15
159,top_159,아이보리 코튼 오버사이즈 아웃 포켓 셔츠,49900,0,49900,28513,21387,93,"S,M,L",n,n,12,top,img_top159,2019-09-29
160,top_160,블랙 플로럴 패턴 러플 쉬폰 블라우스,39900,0,39900,18178,21722,65,"S,M,L",n,n,12,top,img_top160,2019-05-20
161,top_161,라이트 핑크 코튼 절개 셔링 블라우스,49900,0,49900,49222,678,55,"S,M,L",n,n,1,top,img_top161,2019-03-05
162,top_162,블랙 타탄체크 포인트 프릴 퍼프소매 블라우스,39900,0,39900,32422,7478,8,"S,M,L",n,n,9,top,img_top162,2019-09-17
163,top_163,블랙 깅엄 체크 백 타이 블라우스,39900,0,39900,36811,3089,46,"S,M,L",n,n,2,top,img_top163,2019-05-11
164,top_164,아이보리 언밸런스 블라우스,49900,0,49900,10458,39442,59,"S,M,L",n,n,12,top,img_top164,2019-05-22
165,top_165,브라운 플로럴 셔링 타이 퍼프소매 블라우스,39900,0,39900,4408,35492,21,"S,M,L",y,n,14,top,img_top165,2019-11-28
166,top_166,스카이 블루 코팅 포켓 셔츠,59900,0,59900,47648,12252,3,"S,M,L",n,n,13,top,img_top166,2019-08-19
167,top_167,[특별가격] 화이트  베이직 포인트 스트라이프 셔츠,39900,25,29900,26953,2947,46,"S,M,L",n,n,7,top,img_top167,2019-09-18
168,top_168,핑크 히든 버튼 칼라 셔츠,49900,0,49900,26339,23561,9,"S,M,L",n,n,6,top,img_top168,2019-07-17
169,top_169,머스터드 베이직 절개 플랩포켓 슬릿 셔츠,59900,0,59900,24824,35076,83,"S,M,L",n,n,14,top,img_top169,2019-11-07
170,top_170,화이트 트위스트 사이드 슬릿 블라우스,49900,0,49900,3247,46653,44,"S,M,L",n,n,1,top,img_top170,2019-08-06
171,top_171,베이지 버터플라이 프린트 셔츠,49900,0,49900,32316,17584,39,"S,M,L",n,n,6,top,img_top171,2019-06-11
172,top_172,블랙 모달 버튼 포인트 블라우스,39900,0,39900,6154,33746,60,"S,M,L",n,n,2,top,img_top172,2019-11-29
173,top_173,옐로우 벌룬 소매 프릴넥 블라우스,49900,0,49900,47287,2613,82,"S,M,L",n,n,10,top,img_top173,2019-10-23
174,top_174,아이보리 스모킹 셔링 블라우스,59900,0,59900,39335,20565,51,"S,M,L",n,n,3,top,img_top174,2019-08-11
175,top_175,아이보리 투 포켓 프릴넥 블라우스,39900,0,39900,1927,37973,43,"S,M,L",n,n,13,top,img_top175,2019-01-12
176,top_176,브릭 솔리드 포인트 플랩 포켓 언밸런스 블라우스,49900,0,49900,4050,45850,41,"S,M,L",n,n,3,top,img_top176,2019-11-11
177,top_177,네이비 포인트 플리츠 페플럼 블라우스,45900,0,45900,7750,38150,9,"S,M,L",n,n,2,top,img_top177,2019-06-03
178,top_178,오렌지 랩 페플럼 블라우스,39900,0,39900,8055,31845,12,"S,M,L",n,n,5,top,img_top178,2019-07-02
179,top_179,베이지 볼륨 커프스 셔츠,49900,0,49900,10800,39100,7,"S,M,L",n,n,8,top,img_top179,2019-02-16
180,top_180,네이비 플로럴 배트윙 리본 블라우스,49900,0,49900,5657,44243,15,"S,M,L",n,n,1,top,img_top180,2019-03-14
181,top_181,블루 솔리드 도트 리본 스트랩 롤업 소매 블라우스,39900,0,39900,31228,8672,52,"S,M,L",n,n,5,top,img_top181,2019-07-30
182,top_182,아이보리 포인트 셔링 스퀘어넥 반소매 블라우스,35900,0,35900,9138,26762,31,"S,M,L",n,n,9,top,img_top182,2019-11-05
183,top_183,화이트 니트 배색 셔츠,69900,0,69900,21899,48001,22,"S,M,L",n,n,8,top,img_top183,2019-10-18
184,top_184,브라운 플로럴 러플 스트랩 블라우스,39900,0,39900,16073,23827,97,"S,M,L",n,n,6,top,img_top184,2019-06-25
185,top_185,베이지 플로럴 스트랩 페플럼 블라우스,39900,0,39900,27755,12145,29,"S,M,L",n,n,4,top,img_top185,2019-12-16
186,top_186,옐로이시 브라운 체크 러플 블라우스,39900,0,39900,27660,12240,61,"S,M,L",n,n,9,top,img_top186,2019-04-14
187,top_187,블랙 새틴 반소매 블라우스,39900,0,39900,924,38976,88,"S,M,L",n,n,2,top,img_top187,2019-11-01
188,top_188,네이비 트위스트 스트랩 블라우스,49900,0,49900,29174,20726,96,"S,M,L",n,n,6,top,img_top188,2019-02-26
